,abstract,country,journal,pmid,pubdate,title,psyc
1590,"BACKGROUND/OBJECTIVES
Dementia-related behavioral symptoms and functional dependence result in poor quality of life for persons with dementia and their caregivers. The goal was to determine whether a home-based activity program (Tailored Activity Program; TAP-VA) would reduce behavioral symptoms and functional dependence of veterans with dementia and caregiver burden.


DESIGN
Single-blind (interviewer), parallel, randomized, controlled trial (Clinicaltrials.gov: NCT01357564).


SETTING
Veteran's homes.


PARTICIPANTS
Veterans with dementia and their family caregivers (N = 160 dyads).


INTERVENTION
Dyads in TAP-VA underwent 8 sessions with occupational therapists to customize activities to the interests and abilities of the veterans and educate their caregivers about dementia and use of customized activity. Caregivers assigned to attention control received up to 8 telephone-based dementia education sessions with a research team member.


MEASUREMENTS
Primary outcomes included number of behaviors and frequency of their occurrence multiplied by severity of occurrence; secondary outcomes were functional dependence, pain, emotional well-being, caregiver burden (time spent caregiving, upset with behaviors) and affect at 4 (primary endpoint) and 8 months.


RESULTS
Of 160 dyads (n = 76 TAP-VA; n = 84 control), 111 completed 4-month interviews (n = 51 TAP-VA; n = 60 control), and 103 completed 8-month interviews (n = 50 TAP-VA; n = 53 control). At 4 months, compared to controls, the TAP-VA group showed reductions in number (difference in mean change from baseline = -0.68, 95% CI = -1.23 to -0.13) and frequency by severity (-24.3, 95% CI = -45.6 to -3.1) of behavioral symptoms, number of activities needing assistance with (-0.80, 95% CI = -1.41 to -0.20), functional dependence level (4.09, 95% CI = 1.06, 7.13), and pain (-1.18, 95% CI = -2.10 to -0.26). Caregivers of veterans in TAP-VA reported less behavior-related distress. Benefits did not extend to 8 months.


CONCLUSION
TAP-VA had positive immediate effects and no adverse events. Because TAP-VA reduces behavioral symptoms, slows functional dependence, and alleviates pain and caregiver distress, it is a viable treatment option for families.",United States,Journal of the American Geriatrics Society,29192967,2017,Targeting Behavioral Symptoms and Functional Decline in Dementia: A Randomized Clinical Trial.,y
1591,"BACKGROUND
Smoke-free laws reduce disease prevalence. The impact of municipal smoke-free laws on lung cancer incidence in Kentucky was examined. The authors hypothesized that lung cancer incidence rates would be associated with the strength of smoke-free laws.


METHODS
This was a secondary analysis of 83,727 Kentucky residents agedâ€‰â‰¥â€‰50 years who were newly diagnosed with lung cancer from 1995 to 2014. In 2014, 33 municipalities had 1 or more smoke-free laws. County-level characteristics included adult smoking rate, sex, race/ethnicity, income, physician supply, observed radon values, and rurality.


RESULTS
Individuals living in communities with comprehensive smoke-free laws were 7.9% less likely than those living in communities without smoke-free protections to be diagnosed with lung cancer. The difference in lung cancer incidence between counties with moderate/weak laws and those without laws was not significant.


CONCLUSIONS
Comprehensive smoke-free laws were associated with fewer new cases of lung cancer, whereas weak or moderate smoke-free laws did not confer the same benefit. One hundred percent smoke-free laws, covering all workers and the public with few or no exceptions, may be key in reducing new cases of lung cancer. [See related editorial on pages 000-000, this issue.] Cancer 2017. Â© 2017 American Cancer Society.",United States,Cancer,29193013,2017,Lung cancer incidence and the strength of municipal smoke-free ordinances.,y
1592,"Our contribution assesses the role of information barriers for patterns of participation in Higher Education (HE) and the related social inequalities. For this purpose, we developed a large-scale clustered randomised experiment involving over 9,000 high school seniors from 62 Italian schools. We designed a counseling intervention to correct student misperceptions of the profitability of HE, that is, the costs, economic returns and chances of success of investments in different tertiary programs. We employed a longitudinal survey to test whether treated students' educational trajectories evolved differently relative to a control group. We find that, overall, treated students enrolled less often in less remunerative fields of study in favour of postsecondary vocational programmes. Most importantly, this effect varied substantially by parental social class and level of education. The shift towards vocational programmes was mainly due to the offspring of low-educated parents; in contrast, children of tertiary graduates increased their participation in more rewarding university fields. Similarly, the redistribution from weak fields to vocational programmes mainly involved the children of the petty bourgeoisie and the working class, while upper class students invested in more rewarding university fields. We argue that the status-maintenance model proposed by Breen and Goldthorpe can explain these socially differentiated treatment effects. Overall, our results challenge the claim that student misperceptions contribute to horizontal inequalities in access to HE.",England,The British journal of sociology,29193014,2017,Information barriers and social stratification in higher education: evidence from a field experiment.,y
1593,"AIM
To examine the diagnostic ability of early magnetic resonance imaging (MRI; <36wks postmenstrual age) to detect later adverse motor outcomes or cerebral palsy (CP) in infants born preterm.


METHOD
Studies of infants born preterm with MRI earlier than 36 weeks postmenstrual age and quantitative motor data or a diagnosis of CP at or beyond 1 year corrected age were identified. Study details were extracted and meta-analyses performed where possible. Quality of included studies was evaluated with the QUADAS-2 (a revised tool for the quality assessment of diagnostic accuracy studies).


RESULTS
Thirty-one articles met the inclusion criteria, five of which reported diagnostic accuracy and five reported data sufficient for calculation of diagnostic accuracy. Early structural MRI global scores detected a later diagnosis of CP with a pooled sensitivity of 100% (95% confidence interval [CI] 86-100) and a specificity of 93% (95% CI 59-100). Global structural MRI scores determined adverse motor outcomes with a pooled sensitivity of 89% (95% CI 44-100) and a specificity of 98% (95% CI 90-100). White matter scores determined adverse motor outcomes with a pooled sensitivity of 33% (95% CI 20-48) and a specificity of 83% (95% CI 78-88).


INTERPRETATION
Early structural MRI has reasonable sensitivity and specificity to determine adverse motor outcomes and CP in infants born preterm. Greater reporting of diagnostic accuracy in studies examining relationships with motor outcomes and CP is required to facilitate clinical utility of early MRI.


WHAT THIS PAPER ADDS
Early magnetic resonance imaging (MRI) has reasonable sensitivity and specificity to determine later adverse motor outcomes and cerebral palsy (CP). Detection of infants who progressed to CP was stronger than motor outcomes. Global MRI scores determined adverse motor outcomes more accurately than white matter scores. Few studies report diagnostic accuracy of early MRI findings. Diagnostic accuracy is required to draw clinically meaningful conclusions from early MRI studies.",England,Developmental medicine and child neurology,29193032,2017,Diagnostic accuracy of early magnetic resonance imaging to determine motor outcomes in infants born preterm: a systematic review and meta-analysis.,y
1594,"AIM
To examine the factors contributing to nurses choosing to exit the nursing profession before retirement age.


BACKGROUND
Population growth, ageing and growing demand for health services mean increased demand for nurses. Better retention could help meet this demand, yet little work has been done in New Zealand to understand early attrition.


METHODS
An online survey of registered and enrolled nurses and nurse practitioners who had left nursing was used. This study reports analysis of responses from 285 ex-nurses aged under 55.


FINDINGS
The primary reasons nurses left the profession were as follows: workplace concerns; personal challenges; career factors; family reasons; lack of confidence; leaving for overseas; unwillingness to complete educational requirements; poor work-life balance; and inability to find suitable nursing work. Most nurses discussed their intentions to leave with a family member or manager and most reported gaining transferrable skills through nursing.


CONCLUSIONS
Nurses leave for many reasons. Implementing positive practice environments and individualized approaches to retaining staff may help reduce this attrition. Generational changes in the nature of work and careers mean that nurses may continue to leave the profession sooner than anticipated by policymakers.


IMPLICATIONS FOR POLICY
If the nursing workforce is to be able to meet projected need, education, recruitment and retention policies must urgently address issues leading to early attrition. In particular, policies improving the wider environmental context of nursing practice and ensuring that working environments are safe and nurses are well supported must be developed and implemented. Equally, national nursing workforce planning must take into account that nursing is no longer viewed as a career for life.",England,International nursing review,29193041,2017,Early nurse attrition in New Zealand and associated policy implications.,y
1595,"Access to Medicine (AtM) initiatives have traditionally focused on enabling continuous availability and affordability of medicines for patients in the developing world. A more holistic view of AtM across the discovery-development-regulation-utilization continuum would also include participation in the development and timely access to emerging therapies in diverse populations in the era of precision therapeutics, built upon foundational clinical pharmacology principles, leveraging a Totality of Evidence (ToE) mindset.",United States,Clinical pharmacology and therapeutics,29193042,2017,Driving Access to Medicines With a Totality of Evidence Mindset: An Opportunity for Clinical Pharmacology.,y
1596,"OBJECTIVE
Chronic sleep deficiency is associated with early mortality. In the epileptic population, there is a higher prevalence of sleep disorders, and individuals with severe refractory epilepsy are at greater risk of premature mortality than the general population. Sudden unexpected death in epilepsy affects 1:1000 cases of epilepsy each year. Ketogenic diet (KD) treatment is one of the few effective options for refractory seizures. Despite KD reducing seizures and increasing longevity in Kv1.1 knockout (KO) mice, they still succumb to sudden death. This study aims to determine whether (1) the rest profiles of KO and KD-treated KO (KOKD) mice resemble each other as a function of either age or proximity to death and (2) the timing of death correlates with acute or chronic changes in rest.


METHODS
Noninvasive actimetry was used to monitor rest throughout the lives of KO and wild-type (WT) littermates administered standard diet or KD.


RESULTS
As KO mice age, rest is reduced (PÂ <Â .0001). Rest is significantlyÂ improved in KDKO mice (PÂ <Â .0001), resembling WT values at several ages. When age is removed as a variable and data are realigned to the day of death, the rest profiles of KO and KOKD groups worsen to similar degrees as a function of proximity to death. The amount of rest acutely is not sensitive to the timing of death, whereas chronic rest deficiency profiles (10-15Â days prior to death) of both groups were indistinguishable. Chronic accumulation of rest deficiency over the final 15Â days was associated with 75% of deaths.


SIGNIFICANCE
Our data suggest that the accumulated rest deficiency is associated with sudden death in Kv1.1 KO mice. These data (1) support the proposed clinical hypothesis that chronic sleep deficiency may be associated with early mortality in epileptic patients and (2) warrant future preclinical and clinical studies on sleep monitoring in epileptic patients.",United States,Epilepsia,29193044,2017,"Accumulation of rest deficiency precedes sudden death of epileptic Kv1.1 knockout mice, a model of sudden unexpected death in epilepsy.",y
1597,"In this paper, we examined the psychometric properties of cross-cultural validation and replicability (i.e. measurement invariance) of the Belief in a Zero-Sum Game (BZSG) scale, measuring antagonistic belief about interpersonal relations over scarce resources. The factorial structure of the BZSG scale was investigated in student samples from 36 countries (N = 9907), using separate confirmatory factor analyses (CFAs) for each country. The cross-cultural validation of the scale was based on multigroup confirmatory factor analyses (MGCFA). The results confirmed that the scale had a one-factor structure in all countries, in which configural and metric invariance between countries was confirmed. As a zero-sum belief about social relations perceived as antagonistic, BZSG is an important factor related to, for example, social and international relations, attitudes toward immigrants, or well-being. The paper proposes different uses of the BZSG scale for cross-cultural studies in different fields of psychology: social, political, or economic.",England,International journal of psychology : Journal international de psychologie,29193046,2017,Measurement invariance of the Belief in a Zero-Sum Game scale across 36 countries.,y
1598,"Since culturally salient stimuli for emotion recognition are scarce in India, we developed and validated a set of 140 coloured pictures of six basic emotions along with a neutral expression. The expressions were posed by four expressers, two males and two females, with mean age of 25.25 (SD 3.77) years. The expressions were captured from five different angles keeping the background uniform. These pictures were shown to 350 undergraduates who labelled the emotion and rated their intensity. The mean biased hit rate was 93.02 (SD 7.33) and mean unbiased hit rate was .519 (SD .015). Within subjects ANOVA revealed significant main effect of emotion (F(1, 6)â€‰=â€‰7.598, pâ€‰<â€‰.001). The t-test value (23.116, pâ€‰<â€‰.001) shows that the given emotion was identified correctly by participants beyond chance factors. The mean intensity rating was 5.94 (SD .77). Overall, the results reveal that the pictures are a valid set of affective stimuli.",England,International journal of psychology : Journal international de psychologie,29193049,2017,Development and validation of Indian Affective Picture Database.,y
1599,"OBJECTIVE
Using a ""double-pulse"" adaptation paradigm, in which two stimuli are presented in quick succession, this study examines the neural mechanisms underlying potentiation of the visual evoked potential (VEP) in visual snow syndrome.


BACKGROUND
Visual snow is a persistent visual disturbance characterized by rapid flickering dots throughout the visual field. Like the related condition of migraine with aura, visual snow has been hypothesized to arise from abnormal neuronal responsiveness, as demonstrated by a lack of typical VEP habituation to repeated visual stimulation. Yet the exact neural mechanisms underlying this effect remain unclear. Previous ""double-pulse"" experiments suggest that typical VEP habituation reflects disruptive gamma-band (50-70 Hz) neural oscillations, possibly driven by inhibitory interneurons. Given that migraine has been associated with reduced cortical inhibition, we propose here that visual snow may likewise reflect diminished inhibitory activity, resulting in decreased gamma power following initial visual stimulation and concomitant potentiation of the subsequent VEP response.


METHODS
We compared VEP responses to double-pulse adaptation in a 22-year-old man with a 2-year history of visual snow versus a group of age- and gender-matched controls (Nâ€‰=â€‰5). The patient does not have a comorbid diagnosis of episodic migraine or migraine with aura, and controls had no personal or family history of migraine.


RESULTS
In contrast to the pattern of habituation observed in controls, visual snow was associated with persistent potentiation of the VEP response. Consistent with our predictions, time-frequency analysis revealed reduced gamma-band power following the initial stimulus in visual snow relative to controls.


CONCLUSIONS
These results support an antagonistic interplay between gamma power and rapid neural adaptation, shedding new light on the neural mechanisms of VEP potentiation in visual snow.",United States,Headache,29193050,2017,Antagonistic Relationship Between VEP Potentiation and Gamma Power in Visual Snow Syndrome.,y
1600,"BACKGROUND
Recent studies show migraineurs are at an increased risk of developing suicidal behaviors, even after controlling for comorbid depression. However, previous research has not examined the impact of psychiatric mood disorders on suicidal behaviors in migraineurs within a nationally representative sample.


OBJECTIVE
A cross-sectional study was used to investigate the association between migraine and suicidal behaviors and determine whether psychiatric comorbidities modify this association in a nationwide inpatient cohort.


METHODS
We analyzed the Nationwide Inpatient Sample of hospitalizations compiled from USA billing data. Migraine, suicidal behaviors, and psychiatric disorders were identified based on the International Classification of Diseases, 9th Revision, Clinical Modification diagnosis codes from hospitalization discharges (2007-2012). Weighted national estimates were used to estimate odds ratios (OR) and 95% confidence intervals (CI).


RESULTS
156,172,826 hospitalizations were included, of which 1.4% had a migraine diagnosis and 1.6% had a diagnosis of suicidal behavior. Migraineurs had a 2.07-fold increased odds of suicidal behaviors (95%CI: 1.96-2.19) compared with non-migraineurs. We repeated analyses after stratifying by depression, anxiety, or posttraumatic stress disorder (PTSD). Among hospitalizations with depression, migraine was associated with a 20% reduced odds of suicidal behaviors (95%CI: 0.76-0.85). Among hospitalizations without depression, migraine was associated with 2.35-fold increased odds of suicidal behaviors (95%CI: 2.20-2.51). In stratified analyses, we noted that among hospitalizations with anxiety, migraineurs had slightly increased odds of suicidal behaviors (OR: 1.07, 95%CI: 1.02-1.13). Among hospitalizations without anxiety, migraine was associated with a 2.06-fold increased odds of suicidal behaviors (95%CI: 1.94-2.20). Similarly, in analyses stratified by PTSD, migraine was not associated with an increased risk of suicidal behaviors (OR: 1.00, 95%CI: 0.94-1.07) among those with PTSD. However, the odds of suicidal behaviors were increased among hospitalizations without PTSD (OR: 1.95, 95%CI: 1.84-2.08).


CONCLUSION
Chronic conditions that do not affect the current hospitalization may not have been reported. The presence of psychiatric diagnoses influences associations of suicidal behaviors with migraine in a national inpatient sample. Migraineurs with diagnosed comorbid psychiatric disorders may be receiving care that mitigates their risk for suicidal behaviors.",United States,Headache,29193052,2017,Association Between Migraine and Suicidal Behaviors: A Nationwide Study in the USA.,y
1601,"Variation in the shape of the human face and in stature is determined by complex interactions between genetic and environmental influences. One such environmental influence is malnourishment, which can result in growth faltering, usually diagnosed by means of comparing an individual's stature with a set of age-appropriate standards. These standards for stature, however, are typically ascertained in groups where people are at low risk for growth faltering. Moreover, genetic differences among populations with respect to stature are well established, further complicating the generalizability of stature-based diagnostic tools. In a large sample of children aged 5-19 years, we obtained high-resolution genomic data, anthropometric measures and 3D facial images from individuals within and around the city of Mwanza, Tanzania. With genome-wide complex trait analysis, we partitioned genetic and environmental variance for growth outcomes and facial shape. We found that children with growth faltering have faces that look like those of older and taller children, in a direction opposite to the expected allometric trajectory, and in ways predicted by the environmental portion of covariance at the community and individual levels. The environmental variance for facial shape varied subtly but significantly among communities, whereas genetic differences were minimal. These results reveal that facial shape preserves information about exposure to undernourishment, with important implications for refining assessments of nutritional status in children and the developmental-genetics of craniofacial variation alike.",England,Journal of anatomy,29193055,2017,Facial shape manifestations of growth faltering in Tanzanian children.,y
1602,"OBJECTIVE
Posttraumatic growth (PTG) describes positive change resulting from challenging life events. The current study examined factors associated with PTG in traumatically injured patients 1 year postinjury.


METHOD
Participants (NÂ =Â 221) in this prospective cohort study included adults admitted to a Level I trauma center. Over half the participants (60%) were male, with a mean age of 47. Participants completed baseline measures during hospitalization. PTG was assessed at 12-month follow-up.


RESULTS
Greater PTG was associated with minority race/ethnicity, lower income, automotive collision, and premorbid psychological disorder other than depression or posttraumatic stress (PTS). These variables are also known to predict PTS in trauma patients. Analysis confirmed that greater PTS at follow-up was associated with more growth.


CONCLUSION
Participants with the most growth also experienced the most distress. This finding demonstrates the importance of implementing psychological screening and intervention for trauma patients in the acute care setting to reduce PTS and facilitate growth.",United States,Journal of clinical psychology,29193058,2017,Posttraumatic growth in a heterogeneous sample of traumatically injured patients 1 year postinjury.,y
1603,"The adolescent brain is vulnerable to long-lasting cognitive disturbances resulting from nicotine exposure. Although exercise has been used as an intervention for ameliorating cognitive deficits in various disorders, the effect on cognitive changes induced by nicotine exposure and its underlying mechanisms remain unclear. The purpose of this study was to investigate the effects of exercise on nicotine reward-associated cognitive behaviors in adolescent rats subjected to nicotine conditioned place preference paradigm (CPP). Male adolescent rats were trained on the Go/NoGo task, then subjected to nicotine CPP, and then randomly separated into four groups: sedentary (SED) and high- (HE), moderate- (ME) and low-intensity (LE) exercise. Rats in exercise groups performed treadmill running 30 min daily for 10 days. Results showed that MEs had shorter escape latencies in the Morris water maze (MWM) test compared to SEDs. Although time spent and distance swam in the target quadrant significantly increased in both the MEs and HEs, the number of target quadrant crosses increased significantly only in MEs. MEs and HEs showed higher performance accuracy on NoGo and lower scores on CPP tasks. Expression of Î±7 nicotinic acetylcholine receptors (nAChRs) and downstream signaling molecules increased in MEs in prefrontal cortex but not hippocampus, with Î±7 nAChRs expression positively associated with NoGo accuracy and MWM probe test performance, but negatively correlated with CPP scores. The findings of this study suggest that moderate-intensity exercise can improve nicotine induced cognitive behaviors, and implicates prefrontal cortical Î±7 nAChR-mediated signal transduction as a possible mechanism. This article is protected by copyright. All rights reserved.",United States,Journal of cellular physiology,29193059,2017,Exercise improves nicotine reward-associated cognitive behaviors and related Î±7 nAChR-mediated signal transduction in adolescent rats.,y
1604,"The properties of operant reinforcers are dynamic and dependent on a number of variables, such as schedule and effort. There has been sparse research on the generalized conditioned properties of token reinforcement. We evaluated leisure items, edible items, and tokens using a progressive ratio schedule with three children with diagnoses of ASD and developmental delays. The highest break points occurred during the token reinforcement condition for two out of three participants, but response rates tended to be higher with edibles. We then evaluated the effects of presession access to edibles on the break points of edible items and tokens with two participants. Break points decreased only in the edible reinforcement condition, and the participants chose to work for leisure items rather than edibles when presession access to edibles was in place. These findings suggest that the tokens functioned as generalized conditioned reinforcers.",United States,Journal of applied behavior analysis,29193060,2017,Using progressive ratio schedules to evaluate tokens as generalized conditioned reinforcers.,y
1605,"We hypothesised that the question-behaviour effect, referred to as the influence of questioning about a given behaviour on its subsequent performance, is a relevant issue when exploring the external validity of intergroup attitudes. In a pair of studies, we have corroborated that merely expressing attitudes towards the Jewish minority affects people's relevant behaviour towards this group. In an Internet study, participants who first completed verbal attitude measures were more likely to donate to a Jewish organisation compared to those who completed the measures after making the decision to donate. Moreover, responses to attitude measures of various types and donating to the Jewish organisation were correlated when attitudes had been expressed in the first step. When attitudes were measured after the decision to donate, only the responses to the traditional anti-Semitic scale were correlated with this behaviour. In the field study, in which the time interval between attitude and behaviour measures was introduced, no question-behaviour effect was observed. We explain the results with reference to cognitive dissonance and attitude accessibility mechanisms and discuss them in a broader context of attitude-behaviour research.",England,International journal of psychology : Journal international de psychologie,29193062,2017,The question-behaviour effect in intergroup attitudes research: When do attitudes towards a minority predict a relevant behaviour?,y
1606,"Auditory brainstem neurons are functionally primed to fire action potentials (APs) at markedly high-rates in order to rapidly encode acoustic information of sound. This specialization is critical for survival and the comprehension of behaviourally relevant communication functions, including sound localization and understanding speech in noise. Here, we investigated underlying ion channel mechanisms essential for high-rate AP firing in neurons of the chicken nucleus magnocellularis (NM) - the avian analog of bushy cells of the mammalian anteroventral cochlear nucleus. In addition to the established function of high-voltage activated potassium channels, we found that resurgent sodium current (INaR ) plays a role in regulating rapid firing activity of late-developing (embryonic [E] days 19-21) NM neurons. INaR of late-developing NM neurons showed similar properties with mammalian neurons in that its unique mechanism of an ""open channel block state"" facilitated the recovery and increased the availability of sodium (NaV ) channels after depolarization. Using a computational model of NM neurons, we demonstrated that removal of INaR reduced high-rate AP firing. We found weak INaR during a prehearing period (E11-12), which transformed to resemble late-developing INaR properties around hearing onset (E14-16). Anatomically, we detected strong NaV 1.6 expression near maturation, which became increasingly less distinct at hearing onset and prehearing periods, suggesting that multiple NaV channel subtypes may contribute to INaR during development. We conclude that INaR plays an important role in regulating rapid AP firing for NM neurons, a property that may be evolutionarily conserved for functions related to similar avian and mammalian hearing. This article is protected by copyright. All rights reserved.",England,The Journal of physiology,29193076,2017,Resurgent sodium current promotes action potential firing in the avian auditory brainstem.,y
1607,"This study aimed to investigate whether variable patterns of responses can be acquired and maintained by negative reinforcement under an avoidance contingency. Six male Wistar rats were exposed to sessions in which behavioral variability was reinforced according to a Lag contingency: Sequences of three responses on two levers had to differ from one, two or three previous sequences for shocks to be avoided (Lag 1, Lag 2 and Lag 3, respectively). Performance under the Lag conditions was compared with performance on a Yoke condition in which the animals received the same reinforcement frequency and distribution as in the Lag condition but behavioral variability was not required. The results showed that most of the subjects varied their sequences under the Lag contingencies, avoiding shocks with relatively high probability (â‰¥ 0.7). Under the Yoke procedure, responding continued to occur with high probability, but the behavioral variability decreased. These results suggest that behavioral variability can be negatively reinforced.",United States,Journal of the experimental analysis of behavior,29193141,2017,Behavioral variability as avoidance behavior.,y
1608,"BACKGROUND
Exposure to alcohol content in movies has been shown to be associated with adolescent use of alcohol, including earlier onset. This study examined the influence of movie alcohol exposure on subsequent alcohol onset, considering the social context (whether the movie was viewed with a friend or parent). We examined whether media's influence holds across a spectrum of early drinking milestones: sipping (but not consuming a full drink of) alcohol, consuming a full drink of alcohol, and engaging in heavy episodic drinking (HED).


METHODS
Data were taken from a sample of 882 middle school youth (52% female; 24% non-White) enrolled in an ongoing study on alcohol initiation and progression. Exposure to alcohol content in films was measured using a method that combines content analysis and random assignment of movie titles to youth surveys. The hazard of initiating alcohol use (sip, full drink, HED) as a function of exposure was estimated using survival analysis. Associations were adjusted for demographic, personality, and social influence factors known to be associated with both movie exposure and alcohol use.


RESULTS
Exposure to alcohol content was common. Hours of exposure prospectively predicted earlier onset of alcohol involvement across all outcomes. Viewing movies with friends appeared to augment the media exposure effect, in contrast to viewing movies with parents, which was not a significant predictor of initiation.


CONCLUSIONS
Exposure to alcohol in films is involved in the entry into early stages of alcohol involvement. Findings support further investigation into the role of the media in underage drinking, especially in the context of consuming media with friends and peers. Limiting media exposure and/or stronger Federal Trade Commission oversight of movie ratings should be a priority for preventing underage drinking.",England,"Alcoholism, clinical and experimental research",29193150,2017,Exposure to Alcohol Content in Movies and Initiation of Early Drinking Milestones.,y
1609,"Transgender therapists have unique and valuable perspectives into how gender organizes the therapeutic process. Currently, in the MFT field, there is discussion of the cisgender therapist's experience in the therapy room, but no known articles on the transgender therapist's experience. This article provides insight into the experiences of transgender therapists around issues of self-disclosure, social locations of both therapist and client, and clinical supervision. Drawing from our clinical experiences as transmen, we highlight special considerations for working with cisgender, queer, and transgender clients. Implications for supervision of transgender therapists are also discussed. As more gender diverse students seek MFT training, there is an urgent need to acknowledge their perspectives. This article is a call for beginning conversations in this direction.",United States,Journal of marital and family therapy,29193164,2017,Clinical and Supervisory Considerations for Transgender Therapists: Implications for Working with Clients.,y
1610,"The primary goal of this study was to examine and describe the importance of childbearing as perceived by infertile women in the Chinese familial and social context. We adopted a qualitative descriptive method and conducted semi-structured interviews with female patients diagnosed with infertility. Participants were recruited at a high-volume fertility clinic in Tianjin, China. Fifteen women with a diagnosis of infertility were interviewed for 60-90â€‰min. Data were analyzed by thematic analysis. Two themes supported the importance of childbearing for Chinese women with infertility: childbearing as natural law, and childbearing for relational harmony. Childbearing as natural law referred to intrinsic forces to seek a child, including (i) achieving motherhood and womanhood and (ii) experiencing a developmental transition with childbearing as a landmark. Relational harmony included three primary factors: (i) to maintain marital quality by preventing marital failure and rejuvenating an unsatisfactory marital relationship; (ii) to fulfill both authoritative and reciprocal filial piety; (iii) to build a sense of normalcy within family and social networks. In summary, infertility resulted in loss of motherhood, womanhood, and a smooth developmental transition. Moreover, it threatened relationship harmony in the marriage, family, and social life. These insights on the value of childbearing in the Chinese context can inform healthcare professionals in identify infertility-related demands and developing relevant psychosocial services for people with infertility.",United States,Research in nursing & health,29193167,2017,Childbearing importance: A qualitative study of women with infertility in China.,y
1611,"BACKGROUND
As the workforce ages, occupational injuries from falls on the same level will increase. Some industries may be more affected than others.


METHODS
We conducted a cross-sectional study using data from the Bureau of Labor Statistics to estimate same-level fall injury incidence rates by age group, gender, and industry for four sectors: 1) healthcare and social assistance; 2) manufacturing; 3) retail; and 4) transportation and warehousing. We calculated rate ratios and rate differences by age group and gender.


RESULTS
Same-level fall injury incidence rates increase with age in all four sectors. However, patterns of rate ratios and rate differences vary by age group, gender, and industry. Younger workers, men, and manufacturing workers generally have lower rates.


CONCLUSIONS
Variation in incidence rates suggests there are unrealized opportunities to prevent same-level fall injuries. Interventions should be evaluated for their effectiveness at reducing injuries, avoiding gender- or age-discrimination and improving work ability.",United States,American journal of industrial medicine,29193187,2017,"Same-level fall injuries in US workplaces by age group, gender, and industry.",y
1612,"Human behaviour plays an important role in the spread of emerging infectious diseases, and understanding the influence of behaviour changes on epidemics can be key to improving control efforts. However, how the dynamics of individual behaviour changes affects the development of emerging infectious disease is a key public health issue. To develop different formula for individual behaviour change and introduce how to embed it into a dynamic model of infectious diseases, we choose A/H1N1 and Ebola as typical examples, combined with the epidemic reported cases and media related news reports. Thus, the logistic model with the health belief model is used to determine behaviour decisions through the health belief model constructs. Furthermore, we propose 4 candidate infectious disease models without and with individual behaviour change and use approximate Bayesian computation based on sequential Monte Carlo method for model selection. The main results indicate that the classical compartment model without behaviour change and the model with average rate of behaviour change depicted by an exponential function could fit the observed data best. The results provide a new way on how to choose an infectious disease model to predict the disease prevalence trend or to evaluate the influence of intervention measures on disease control. However, sensitivity analyses indicate that the accumulated number of hospital notifications and deaths could be largely reduced as the rate of behaviour change increases. Therefore, in terms of mitigating emerging infectious diseases, both media publicity focused on how to guide people's behaviour change and positive responses of individuals are critical.",England,Statistics in medicine,29193194,2017,Impact of individual behaviour change on the spread of emerging infectious diseases.,y
1613,"BACKGROUND
While it is known that informal caregiving is associated with care-derived self-esteem cross-sectionally, little is known about the impact of informal caregiving on general self-esteem longitudinally. Thus, we aimed at examining whether informal caregiving affects general self-esteem using a longitudinal approach.


METHODS
Data were gathered from a population-based sample of community-dwelling individuals aged 40 and over in Germany from 2002 to 2014 (n = 21 271). General self-esteem was quantified using the Rosenberg scale. Individuals were asked whether they provide informal care regularly.


RESULTS
Fixed effects regressions showed no significant effect of informal caregiving on general self-esteem longitudinally. General self-esteem decreased with increasing morbidity, increasing age, decreasing social ties, whereas it was not associated with changes in employment status, marital status and body mass index. Additional models showed that decreases in self-esteem were associated with decreases in functional health and increases in depressive symptoms.


CONCLUSION
Our longitudinal study emphasises that the occurrence of informal caregiving did not affect general self-esteem longitudinally. Further research is needed in other cultural settings using panel data methods.",Sweden,Scandinavian journal of caring sciences,29193241,2017,Does informal caregiving affect self-esteem? Results from a population-based study of individuals aged 40 and over in Germany from 2002 to 2014.,y
1614,"Evidence for proximal risk factors for suicide is based on case-control psychological autopsy studies, with these reports showing that mood and substance use disorders are the most prevalent mental disorders among suicide decedents worldwide and are associated with marked risk. However, moderators of risk and the degree of risk associated with (nonalcohol) drug use disorder are unknown. A comprehensive search was used to identify 35 case-control psychological autopsy studies published worldwide over a 30-year period that were metaanalyzed using random effects models. Major depression, odds ratio (95% confidence interval)Â =Â 9.14 (5.53, 15.09), and drug use disorder, OR (95% CI)Â =Â 7.18 (3.22, 16.01), had large effect sizes, among other results. Risk estimates associated with major depression were greater in studies with a larger proportion of women and those conducted in Asia compared with other regions. There was no evidence of publication bias or that any one study had a disproportionate impact on findings. Risk for suicide associated with major depression appears to be moderated by sex and/or world region. Drug use disorder is a potent risk factor, illustrating the importance of assessing drug use in clinical risk assessment.",England,Suicide & life-threatening behavior,29193261,2017,Metaanalysis of Mood and Substance Use Disorders in Proximal Risk for Suicide Deaths.,y
